Date,Open,High,Low,Close,Volume
2016-02-29,165.36324789288878,166.3124869355977,163.854630300407,164.049560546875,125918100
2016-03-01,165.27844870035366,167.9905817617275,164.8038292943359,167.90582275390625,141799700
2016-03-02,167.59229275326118,168.71103701601038,167.1769941703758,168.66018676757812,102415000
2016-03-03,168.48216031846093,169.33818241717043,167.90584038845594,169.32122802734375,95172200
2016-03-04,169.51610583066915,170.65181681449857,168.68552203973044,169.8720703125,129293600
2016-03-07,168.94829796973033,170.41454868197394,168.87202261912603,170.00772094726562,100219000
2016-03-08,168.931358027098,169.43987330142576,167.99058989732075,168.151611328125,123974900
2016-03-09,168.96525386308696,169.3296891630479,168.1770364359287,168.98220825195312,94801200
2016-03-10,169.47377534157206,170.4145434339482,167.2871248313894,169.1177978515625,156838700
2016-03-11,170.57558562190354,171.88927281998374,169.10087697982004,171.84689331054688,137964500
2016-03-14,171.33833546054862,172.0841603253658,171.0077960608527,171.62649536132812,73612000
2016-03-15,170.66034345626284,171.65196189463276,170.3976086049525,171.3468475341797,93169100
2016-03-16,170.863746660527,172.74528294364353,170.82136715403325,172.3384552001953,129303200
2016-03-17,172.25366984609144,173.94026260127865,171.8553258542095,173.43174743652344,134278500
2016-03-18,173.93440500776174,174.45407045404377,173.61920257282546,174.11331176757812,138372400
2016-03-21,173.8492135571415,174.59037081442185,173.61919430521965,174.3603515625,72926700
2016-03-22,173.58513217351828,174.83744059062724,173.42328023449707,174.26666259765625,97471900
2016-03-23,173.88326003177772,174.07068117406587,172.9461543203369,173.11654663085938,81052500
2016-03-24,172.08578216169988,173.07400066419757,171.86429029008303,173.0399169921875,84360900
2016-03-28,173.45736862893108,173.67034609579045,172.69065494788242,173.1421661376953,62408200
2016-03-29,172.73317580192514,174.854435262622,172.42648784374134,174.74368286132812,92922900
2016-03-30,175.74895540415565,176.234537123041,175.14409386054828,175.5104217529297,86365300
2016-03-31,175.41670160776863,175.84265639016868,174.9225925002916,175.08445739746094,94584100
2016-04-01,174.08771417931362,176.46453600095066,173.7724988201139,176.27711486816406,114423500
2016-04-04,176.20051490994678,176.40497795255345,175.39971757529472,175.70640563964844,63497000
2016-04-05,174.36035955605857,175.7148928811558,173.69587101925197,173.95144653320312,99662200
2016-04-06,173.95145641795702,175.91085147077712,173.7725496482917,175.85121154785156,91839800
2016-04-07,174.76072267557257,175.11852312280703,173.01430551715268,173.7469482421875,113859000
2016-04-08,174.93114673181876,175.36562902818736,173.6788383465998,174.21554565429688,95040600
2016-04-11,174.8544860367723,175.55305831069512,173.712930027257,173.806640625,83757500
2016-04-12,173.9769881419096,175.7063636753675,173.5339914882865,175.42523193359375,115350600
2016-04-13,176.34531013782208,177.2824160193581,176.2090014643058,177.1972198486328,96336400
2016-04-14,177.25684449163606,177.70835555952485,176.85644592213328,177.20571899414062,65212900
2016-04-15,177.2057317335134,177.3420404050816,176.68606629738127,177.00979614257812,75761600
2016-04-18,177.0097465082115,178.28761069784576,176.3452581695302,178.2535400390625,82531000
2016-04-19,178.6795002600091,179.0713713440399,177.99797007143843,178.8157958984375,88316100
2016-04-20,178.8584575632644,179.68481109835025,178.3813901613822,178.9862518310547,81100300
2016-04-21,179.00323511973923,179.11398752382064,177.7509270088949,178.02354431152344,85695000
2016-04-22,177.66574385115484,178.2961486150435,177.12052224500624,178.02354431152344,99251700
2016-04-25,177.41869959085773,177.75947125140206,176.80532360098758,177.7168731689453,66166500
2016-04-26,178.08321256148966,178.49213861035878,177.50392015759232,177.98098754882812,75864200
2016-04-27,177.5976053889787,178.7391611977084,177.23980489665044,178.3472900390625,77329400
2016-04-28,177.58912067967339,178.6965930082362,176.31125599369,176.7286834716797,97216200
2016-04-29,176.10676511988328,176.456051198613,174.6670357214541,175.77452087402344,142424100
2016-05-02,176.27716877373973,177.35057040867574,175.84269946893238,177.1716766357422,62188000
2016-05-03,175.93641827735294,176.17495198514104,174.8800454292113,175.62973022460938,106422100
2016-05-04,174.63294980542213,175.36559256553545,174.1473551043559,174.6499786376953,92243800
2016-05-05,175.11859049953313,175.47639108443107,174.1900118625994,174.615966796875,67619200
2016-05-06,173.8406943074764,175.29746563926946,173.68735679839853,175.25486755371094,89315000
2016-05-09,175.12713007974105,175.83420388052343,174.948223275311,175.3997344970703,74374900
2016-05-10,176.1067965953573,177.59763875974392,176.0386422508062,177.58059692382812,77472200
2016-05-11,177.12056848858697,177.65726281970865,175.91937255859375,175.91937255859375,81727000
2016-05-12,176.59236471512773,176.76275706283158,174.95669957023696,175.97047424316406,89586300
2016-05-13,175.6723218191895,176.22605797769782,174.11332535865,174.43704223632812,96474600
2016-05-16,174.60742895597465,176.63496533175538,174.54778903360196,176.15789794921875,77486800
2016-05-17,175.88527749140815,176.17492366156853,173.98550955386858,174.51370239257812,114924900
2016-05-18,174.1644511855311,175.74900402077907,173.47440628937858,174.56484985351562,120062100
2016-05-19,173.84066360089128,174.24957655198068,172.7502203985806,173.95993041992188,115430500
2016-05-20,174.57328902398137,175.57854896958463,174.5221765350554,175.0588836669922,104990400
2016-05-23,175.07596657630472,175.35709835134318,174.63298286937538,174.82040405273438,58682600
2016-05-24,175.63821248127613,177.40167171141593,175.61265623148654,177.08645629882812,93537800
2016-05-25,177.76800847541446,178.70511441325252,177.0864780659969,178.2876739501953,76621400
2016-05-26,178.4239565393615,178.65397578121332,178.02355796984926,178.33876037597656,55280700
2016-05-27,178.5006528707272,179.11402894437765,178.44954036444156,179.1055145263672,64211200
2016-05-31,179.37810074303295,179.48885316151993,178.20246122097163,178.7647247314453,109879400
2016-06-01,178.15133860135873,179.3099362242069,177.9554030251805,179.13104248046875,69936200
2016-06-02,178.73061893160897,179.69326784462248,178.25355168283988,179.67623901367188,63044700
2016-06-03,179.1139853790497,179.4888276661212,177.92983160804195,179.13954162597656,101757100
2016-06-06,179.49738306106053,180.408932739918,179.3355181274981,180.05113220214844,64887000
2016-06-07,180.20449410952318,180.89453902569903,180.1789378533028,180.332275390625,60974800
2016-06-08,180.46857854351228,181.04788399796703,180.34079726633757,180.9200897216797,66170900
2016-06-09,180.18740939951746,180.79227098407895,179.91480506499127,180.67300415039062,73786900
2016-06-10,179.29296822716793,179.63372699693713,178.41548904674028,178.96072387695312,113829200
2016-06-13,178.35583796909606,179.21626219571885,177.4954137424733,177.58059692382812,117751200
2016-06-14,177.1971762877941,177.82759399849664,176.2771124664069,177.2312469482422,125059300
2016-06-15,177.231270480706,178.35579741141666,176.79680125699093,176.98422241210938,109124500
2016-06-16,176.98422558476526,177.68279772074933,175.14409766467531,177.5124053955078,149533100
2016-06-17,177.40793406313585,177.4336232145888,176.19193298309247,176.851318359375,117055700
2016-06-20,178.8209310243536,179.49743389751904,177.904640921832,177.9902801513672,82789600
2016-06-21,178.37567258281078,178.90659934424198,177.93037200437965,178.4955596923828,72461700
2016-06-22,178.67533751313096,179.40323174690326,178.05877166179036,178.20436096191406,95560500
